Ticker,ATR14,First15_High,First15_Low,First15_Range,Threshold_0.2_ATR,Range_over_ATR
TGT,2.745,98.71,96.54,2.17,0.549,0.791
ALB,5.4107,152.08,148.0035,4.0765,1.0821,0.753
SNDK,20.0177,261.49,247.1,14.39,4.0035,0.719
MO,0.7564,58.0641,57.525,0.5391,0.1513,0.713
PKG,4.2129,208.43,205.4721,2.9579,0.8426,0.702
AON,5.3157,357.66,354.135,3.525,1.0631,0.663
MMC,2.315,187.86,186.37,1.49,0.463,0.644
KMB,1.3179,101.735,100.9,0.835,0.2636,0.634
GPN,1.8993,81.1,79.965,1.135,0.3799,0.598
VLTO,1.7139,102.69,101.69,1.0,0.3428,0.583
TPL,12.2495,294.12,287.0,7.12,2.4499,0.581
CRM,5.4514,267.91,264.8,3.11,1.0903,0.57
ECL,4.1979,265.5488,263.2,2.3488,0.8396,0.56
WDAY,4.3529,218.58,216.175,2.405,0.8706,0.553
DECK,2.6757,102.0,100.53,1.47,0.5351,0.549
PM,3.0786,162.58,160.9,1.68,0.6157,0.546
NVDA,5.045,192.29,189.61,2.68,1.009,0.531
KVUE,0.2471,17.3,17.17,0.13,0.0494,0.526
BKNG,119.9842,5477.6499,5415.0,62.6499,23.9968,0.522
FFIV,6.1564,265.27,262.06,3.21,1.2313,0.521
GD,5.5521,346.07,343.2,2.87,1.1104,0.517
VLO,3.8779,164.5,162.5001,1.9999,0.7756,0.516
PHM,3.1086,119.9,118.3,1.6,0.6217,0.515
EW,1.5686,86.6,85.8,0.8,0.3137,0.51
EBAY,1.7807,85.0,84.105,0.895,0.3561,0.503
BDX,3.7136,197.24,195.38,1.86,0.7427,0.501
MRNA,1.622,32.66,31.85,0.81,0.3244,0.499
DLTR,4.1679,123.08,121.01,2.07,0.8336,0.497
MPWR,32.0493,960.44,944.62,15.82,6.4099,0.494
HUM,8.4243,258.48,254.375,4.105,1.6849,0.487
PLTR,7.0669,196.35,192.94,3.41,1.4134,0.483
HWM,5.1586,212.475,210.0175,2.4575,1.0317,0.476
SO,1.2207,87.36,86.78,0.58,0.2441,0.475
STX,15.1386,289.7999,282.685,7.1149,3.0277,0.47
CSX,0.47,36.86,36.64,0.22,0.094,0.468
LYV,3.1814,146.57,145.1,1.47,0.6363,0.462
PNC,3.5436,214.21,212.58,1.63,0.7087,0.46
C,2.515,122.0399,120.895,1.1449,0.503,0.455
HII,9.7393,356.1,351.7,4.4,1.9479,0.452
TT,8.2421,393.705,390.0001,3.7049,1.6484,0.45
WRB,1.0943,70.99,70.5,0.49,0.2189,0.448
COR,5.4479,341.5325,339.12,2.4125,1.0896,0.443
MAS,1.4964,65.08,64.43,0.65,0.2993,0.434
NWSA,0.4179,26.52,26.34,0.18,0.0836,0.431
FDS,8.6936,292.2312,288.5,3.7312,1.7387,0.429
CVX,2.1514,151.14,150.22,0.92,0.4303,0.428
NKE,2.2257,60.81,59.86,0.95,0.4451,0.427
VRSN,4.4886,246.905,245.0101,1.8949,0.8977,0.422
COO,1.8464,82.88,82.105,0.775,0.3693,0.42
SOLS,1.94,50.37,49.56,0.81,0.388,0.418
MSI,6.5821,377.718,375.0001,2.7179,1.3164,0.413
BRO,1.5057,81.0,80.38,0.62,0.3011,0.412
AIZ,4.0121,243.755,242.1,1.655,0.8024,0.412
SPGI,7.7829,527.88,524.72,3.16,1.5566,0.406
ETR,1.3879,92.6099,92.0485,0.5614,0.2776,0.405
AMZN,3.9993,232.8,231.18,1.62,0.7999,0.405
CTRA,0.5714,25.92,25.69,0.23,0.1143,0.402
SRE,1.52,89.15,88.54,0.61,0.304,0.401
IFF,1.47,67.19,66.6001,0.5899,0.294,0.401
TRMB,1.7593,80.44,79.735,0.705,0.3519,0.401
EXC,0.575,43.54,43.31,0.23,0.115,0.4
NEE,1.4771,80.64,80.0501,0.5899,0.2954,0.399
FDX,5.9179,296.56,294.21,2.35,1.1836,0.397
WDC,10.2221,182.3,178.25,4.05,2.0444,0.396
VZ,0.5821,40.5,40.27,0.23,0.1164,0.395
TRV,3.9214,293.87,292.34,1.53,0.7843,0.39
MGM,0.885,37.54,37.195,0.345,0.177,0.39
FISV,1.4871,67.8,67.2212,0.5788,0.2974,0.389
UPS,1.7043,100.61,99.95,0.66,0.3409,0.387
COST,14.6257,874.62,869.0,5.62,2.9251,0.384
PG,2.3621,145.215,144.31,0.905,0.4724,0.383
CHD,1.6579,86.04,85.405,0.635,0.3316,0.383
LVS,1.3079,66.6275,66.13,0.4975,0.2616,0.38
AMD,7.8257,216.4299,213.465,2.9649,1.5651,0.379
ZBRA,7.0,246.3458,243.69,2.6558,1.4,0.379
APP,30.3051,732.0,720.5,11.5,6.061,0.379
FIS,1.0814,67.28,66.87,0.41,0.2163,0.379
NEM,3.4679,106.2,104.8901,1.3099,0.6936,0.378
GIS,0.8207,47.16,46.85,0.31,0.1641,0.378
NRG,6.0814,160.69,158.39,2.3,1.2163,0.378
XOM,2.0164,119.55,118.79,0.76,0.4033,0.377
LYB,1.4471,43.395,42.85,0.545,0.2894,0.377
XYL,2.14,139.1349,138.33,0.8049,0.428,0.376
WEC,1.3486,105.46,104.955,0.505,0.2697,0.374
VTRS,0.3186,12.3187,12.2,0.1187,0.0637,0.373
FCX,1.4479,53.39,52.85,0.54,0.2896,0.373
APA,0.78,24.54,24.25,0.29,0.156,0.372
SHW,5.6793,325.38,323.27,2.11,1.1359,0.372
KR,1.1379,63.25,62.83,0.42,0.2276,0.369
MCO,8.5236,519.05,515.91,3.14,1.7047,0.368
CHTR,5.3257,209.2,207.25,1.95,1.0651,0.366
HLT,5.1414,294.69,292.81,1.88,1.0283,0.366
EXR,2.4729,130.73,129.825,0.905,0.4946,0.366
DOW,0.7264,23.135,22.87,0.265,0.1453,0.365
SMCI,1.3271,30.845,30.36,0.485,0.2654,0.365
COIN,11.8014,240.49,236.2,4.29,2.3603,0.364
MRK,2.3579,107.05,106.2,0.85,0.4716,0.36
CCI,1.9479,88.45,87.75,0.7,0.3896,0.359
EVRG,0.8386,73.0,72.7,0.3,0.1677,0.358
DUK,1.5071,117.64,117.1,0.54,0.3014,0.358
GM,1.4157,83.065,82.56,0.505,0.2831,0.357
MCD,4.6021,313.26,311.62,1.64,0.9204,0.356
KMI,0.4529,27.32,27.16,0.16,0.0906,0.353
ELV,9.3207,346.275,342.99,3.285,1.8641,0.352
RTX,3.6114,186.28,185.0101,1.2699,0.7223,0.352
EIX,1.1407,60.2,59.8,0.4,0.2281,0.351
ZTS,2.7664,125.77,124.8,0.97,0.5533,0.351
COF,4.4843,249.245,247.67,1.575,0.8969,0.351
HOLX,0.2436,74.56,74.475,0.085,0.0487,0.349
BF-B,0.8607,26.93,26.63,0.3,0.1721,0.349
WMB,1.095,59.69,59.31,0.38,0.219,0.347
PLD,1.8414,129.495,128.8581,0.6369,0.3683,0.346
SJM,1.8921,99.344,98.69,0.654,0.3784,0.346
TXT,1.62,90.87,90.31,0.56,0.324,0.346
ADP,3.8771,258.735,257.4,1.335,0.7754,0.344
ARES,5.3339,169.85,168.015,1.835,1.0668,0.344
LNT,0.7571,65.36,65.1,0.26,0.1514,0.343
CI,4.565,275.5,273.94,1.56,0.913,0.342
TROW,1.9307,105.42,104.76,0.66,0.3861,0.342
EMR,2.6971,136.237,135.3146,0.9224,0.5394,0.342
AMGN,6.0457,333.9795,331.91,2.0695,1.2091,0.342
PYPL,1.3473,59.99,59.535,0.455,0.2695,0.338
LUV,1.1821,41.57,41.17,0.4,0.2364,0.338
TJX,1.7964,157.4999,156.895,0.6049,0.3593,0.337
ROST,2.8014,181.1,180.155,0.945,0.5603,0.337
AXP,7.1393,382.67,380.27,2.4,1.4279,0.336
DHI,3.9014,146.74,145.43,1.31,0.7803,0.336
PSKY,0.6264,13.74,13.53,0.21,0.1253,0.335
BAC,0.8836,56.545,56.25,0.295,0.1767,0.334
BMY,1.1564,55.04,54.655,0.385,0.2313,0.333
